index,x,y
1,-170.4975591288,-19.5001571942
2,-170.3107691841,-19.5001550451
3,-170.0225614274,-19.5001570591
4,-169.7007341581,-19.5001532293
5,-169.4778284689,-19.5001564542
6,-169.2100152923,-19.5001517167
7,-168.9938116025,-19.5001571942
8,-168.9938106951,-19.255079818
9,-168.9938105764,-19.0167938824
10,-168.9938111147,-18.7583562184
11,-168.9938116025,-18.50205095
12,-169.2458358694,-18.5020564264
13,-169.4395302287,-18.502050914
14,-169.7840574113,-18.5020581853
15,-169.9301796755,-18.5020573179
16,-170.2836762403,-18.5020517637
17,-170.4975591288,-18.50205095
18,-170.4975602132,-18.7201509722
19,-170.4975599386,-19.0640800691
20,-170.4975885576,-19.1878010948
